product_id,product_key,object_id,display_sku,product_name,display_name,brand,lowest_original_price,highest_original_price,lowest_price,highest_price,lowest_discounted_price,highest_discounted_price,in_stock,is_new,on_sale,availability,active_variant_count,fiber,yarn_weight,yarn_content,color_family,content,color_code,knitting_needles,knit_gauge,crochet_hook,crochet_gauge,skein_weight,skein_yardage,quantity,care_instructions,department,category,subcategory,rating_average,rating_count,product_url,image_url,description,days_online,last_modified_at
63498b1b-d173-45c5-874d-d437fdbb8b42,YN20120,96097,331769,I Love This Yarn,353 Menthe - I Love This Yarn,I Love this Yarn,4.99,4.99,3.49,4.99,3.49,3.49,True,False,True,BOTH,66,100% Acrylic,4 - Medium,Acrylic,green,100% Acrylic,353 Menthe,5mm (USA Size: 8 - UK Size: 6),"18 Stitches x 23 Rows = 4"" x 4""",5.5mm (USA Size: I-9 - UK Size: 5),"12 Single Crochet x 15 Rows = 4"" x 4""",7 Ounces,355 Yards,1,"Machine Wash, Warm | Machine Dry | Do Not Iron | Do Not Bleach | Dry Cleanable, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,4.4993,1430,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/i-love-this-yarn/p/yn20120,https://cdn.media.amplience.net/s/hobbylobby/331769-96097-02142025-IMGSET,"Take your knitting and crochet skills to a new level of softness with this I Love This Yarn. Featuring a gorgeous color, this yarn is perfect for hats, scarves, shawls, sweaters, afghans, and much more. Make a one-of-a-kind creation with this beautiful yarn! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",4147.0,2026-05-10T05:11:13.365Z
990d04ea-ded8-4247-b8c3-a26d2bd8ce3b,YN20230,35534,267369,Baby Bee Sweet Delight Twist Yarn,Baby Bee Sweet Delight Twist Yarn,Baby Bee,6.49,6.49,4.54,6.49,4.54,4.54,True,False,True,BOTH,1,85% Acrylic & 15% Polyamide,5 - Bulky,"Polyamide Blend, Acrylic Blend",blue,85% Acrylic & 15% Polyamide,90 Bare Blue,6mm (USA Size: 10 - UK Size: 4),"21 Stitches x 27 Rows = 4""",6mm (USA Size: J-10 - UK Size: 4),"20 Single Crochet x 27 Rows = 6""",4 Ounces,220 Yards,1,"Hand Wash, Cold | Dry Flat, Do Not Machine Dry | Do Not Iron | Do Not Bleach | Dry Clean, Any Solvents",Yarn & Needle Art,Yarn & Tools,Yarn,4.0,14,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/baby-bee-sweet-delight-twist-yarn/p/yn20230,https://cdn.media.amplience.net/s/hobbylobby/267369-35534-IMGSET,"Knit or crochet the softest, dreamiest baby items with Baby Bee Sweet Delight Twist Yarn. It features two strands each of a dark and light shade twisted together for a touch of added dimension in your finished projects. Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",3935.0,2026-05-10T05:07:53.207Z
b9ff7cbb-ed0d-49a7-8ae7-a0929105d27b,EB57014,81235012,2553873,Yarn Bee Eternal Bliss Yarn,Orchid - Yarn Bee Eternal Bliss Yarn,Yarn Bee,7.99,7.99,5.59,7.99,5.59,5.59,True,False,True,BOTH,29,100% Polyester,7 - Jumbo,Polyester,purple,100% Polyester,Orchid,25mm (USA: Size 50/UK: Size 25),"2.5 Stitches x 3.5 Rows = 4"" x 4""",25mm (USA: Size U/UK: Size 0),"2 Single Crochet x 2 Rows = 4"" x 4""",8 Ounces (226g),28 Yards,,"Hand Wash, Cold | Do Not Tumble Dry | Do Not Iron | Do Not Bleach | Do Not Dry Clean",Yarn & Needle Art,Yarn & Tools,Yarn,4.4218,1190,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-eternal-bliss-yarn/p/eb57014,https://cdn.media.amplience.net/s/hobbylobby/2553873-81235012-06102025-IMGSET,"Create a one-of-a-kind crocheted or knitted project with this Yarn Bee Eternal Bliss Yarn. This jumbo yarn features thick fibers that are soft to the touch. Use it to make warm hats, scarves, blankets, shawls, and more. Knit away in chunky fashion with this fun yarn! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",,2026-05-10T05:10:25.697Z
472933f7-e3eb-4c42-ade9-5b42052dc318,P81148392,81148392,2312320,Yarn Bee Sugarwheel Sparkle Yarn,202 Parisian Sweet Shoppe - Sugarwheel Yarn,Yarn Bee,7.99,7.99,5.59,7.99,5.59,5.59,True,False,True,BOTH,1,97% Acrylic & 3% Metallic Polyester,4 - Medium,"Polyester Blend, Acrylic Blend",multi,97% Acrylic & 3% Metallic Polyester,202 Parisian Sweet Shoppe,5mm (USA: Size 8 - UK: Size 6),"18 Stitches x 23 Rows = 4"" x 4""",5.5mm (USA: 9 - UK: Size 5),"12 Stitches x 15 Rows = 4"" x 4""",6 Ounces,302 Yards,1,"Machine Wash, Warm | Tumble Dry, Normal | Do Not Iron | Do Not Bleach | Dry Clean, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,4.7143,28,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-sugarwheel-sparkle-yarn/p/p81148392,https://cdn.media.amplience.net/s/hobbylobby/2312320-81148392-IMGSET,"Make sure your needlecrafts are ultra-sweet with this Yarn Bee Sugarwheel Sparkle Yarn. This soft yarn features gorgeous, variegated colors and metallic details and a soft construction, which you can combine with other skeins for plush, perfect creations. Knit or crochet decor pieces, scarves, hats, and so much more! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot. The variegation of colors on each skein will vary in appearance from the interior to exterior. Each skein may contain any or all the colors you see pictured.",1005.0,2026-05-10T05:07:47.141Z
85a0e532-9714-4f0d-a13b-0c20729b36c8,YN20330,80784105,1336627,I Love This Cotton Yarn,I Love This Cotton Yarn,I Love this Cotton,3.99,4.49,2.79,4.49,2.79,3.14,True,False,True,BOTH,47,100% Cotton,4 - Medium,Cotton,yellow,100% Cotton,326 Curry,5mm (USA Size: 8 - UK Size: 6),"18 Stitches x 23 Rows = 4"" x 4""",5.5mm (USA Size: I-9 - UK Size: 5),"13 Single Crochet x 14 Rows = 4"" x 4""",3.5 Ounces,180 Yards,1,"Machine Wash, Warm | Tumble Dry, Normal | Low Iron | Do Not Bleach | Dry Clean, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,4.4394,594,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/i-love-this-cotton-yarn/p/yn20330,https://cdn.media.amplience.net/s/hobbylobby/1336627-80784105-02142025-IMGSET,"Create personalized art projects with this I Love This Cotton Yarn. This lovely cotton yarn features a beautiful color that is perfect for making scarves, sweaters, and so much more. Get creative by knitting or crocheting with this soft yarn! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",3356.0,2026-05-10T05:06:25.455Z
cab7cee6-b138-4c9d-a82b-5ab85dc662f3,YN20171,81235014,2553899,Yarn Bee Soft Secret Yarn,Cinnamon Cedar - Yarn Bee Soft Secret Yarn,Yarn Bee,5.99,5.99,4.19,5.99,4.19,4.19,True,False,True,BOTH,47,100% Acrylic,4 - Medium,Acrylic,multi,100% Acrylic,Cinnamon Cedar,4.5mm (USA: Size 7 - UK: Size 7),"20 Stitches x 26 Rows = 4"" x 4""",5.5mm (USA Size: H/8 - UK Size: 6),14 Single Crochet x 18 Rows = 4” x 4”,4 Ounces,199 Yards,1,"Machine Wash, Warm, Gentle Or Delicate Cycle | Do Not Bleach | Do Not Iron | Do Not Dry Clean | Tumble Dry, Normal, Low Heat",Yarn & Needle Art,Yarn & Tools,Yarn,3.8402,338,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-soft-secret-yarn/p/yn20171,https://cdn.media.amplience.net/s/hobbylobby/2553899-81235014-06172025-IMGSET,"You won't find yourself in stitches over this yarn! Unbelievably soft and featuring a beautiful color palette, this Yarn Bee Soft Secret Yarn is perfect for your knitting and crocheting needs. Use it to make soft hats, scarves, blankets, sweaters, mittens, and more! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",,2026-05-10T05:10:10.034Z
e35f7a5d-d369-4e7d-bd98-30d9cbd883f6,CSBY23,80990631,1963743,Crafter's Secret Big Idea Yarn,51 Pearl Fleck - Crafter's Secret Big Idea Yarn,Crafter's Secret,11.99,11.99,8.39,11.99,8.39,8.39,True,False,True,BOTH,2,100% Acrylic,4 - Medium,Acrylic,white,100% Acrylic,51 Pearl Fleck,5mm (USA Size: 8 / UK Size: 6),"18 Stitches x 23 Rows = 4"" x 4""",5.5mm (USA Size: 9 / UK Size: 5),"12 Single Crochet x 15 Rows = 4"" x 4""",12 Ounces,605 Yards,1,"Machine Wash, Warm | Do Not Bleach | Tumble Dry, Normal | Do Not Iron | Dry Clean, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,4.8478,46,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/crafter-s-secret-big-idea-yarn/p/csby23,https://cdn.media.amplience.net/s/hobbylobby/1963743-80990631-IMGSET,"With just a skein of yarn and a vast imagination, you can create dazzling, delightful creations to share with the world! Crafter's Secret Big Idea Yarn can be combined with other colors and styles to create scarves, socks, hats, and a variety of other fun wearables and decor. Knit or crochet the day away! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",2059.0,2026-05-10T05:09:20.060Z
858b99bc-a8a0-405b-b85a-4efc3174aa70,P81234938,81234955,2553584,Yarn Bee Beginner Yarn,Black - Yarn Bee Beginner Yarn,Yarn Bee,3.49,3.99,2.44,3.99,2.44,2.79,True,False,True,BOTH,9,,5 - Bulky,Cotton Blend,black,75% Cotton & 25% Nylon,Black,,"16 Stitches x 21 Rows = 4"" x 4""",5mm (USA: Size H-8/UK: Size 5),"14 Single Crochet x 14 Rows = 4"" x 4""",2.3 Ounces,65 Yards,1,"Hand Wash, Cool | Dry Flat | Do Not Iron | Do Not Bleach | Do Not Dry Clean",Yarn & Needle Art,Yarn & Tools,Yarn,4.7826,23,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-beginner-yarn/p/p81234938,https://cdn.media.amplience.net/s/hobbylobby/2553584-81234955-06232025-IMGSET,"Get into the art of knitting and crocheting with this Yarn Bee Beginner Yarn. This soft yarn features a mix of cotton and nylon, making it super-soft to the touch. Its smooth finish and bulky weave make it ideal for beginners. Use this yarn to help you master the craft and to create cute accessories you can be proud of! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",,2026-05-10T05:08:23.135Z
d55a269f-c18c-4fc1-9be8-35f24a676d03,SW78578,96080,390427,Stonewash Print I Love This Yarn,01 Denim - Stonewash Print I Love This Yarn,I Love this Yarn,4.99,4.99,3.49,4.99,3.49,3.49,True,False,True,BOTH,5,100% Acrylic,4 - Medium,Acrylic,blue,100% Acrylic,01 Denim,5mm (USA Size: 8 - UK Size: 6),"18 Stitches x 23 Rows = 4"" x 4""",5.5mm (USA Size: I-9 - UK Size: 5),"12 Single Crochet x 15 Rows = 4"" x 4""",5 Ounces,252 Yards,1,"Machine Wash, Warm | Tumble Dry | Do Not Iron | Do Not Bleach | Dry Clean, Any Solvent",Yarn & Needle Art,Yarn & Tools,Yarn,4.1752,137,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/stonewash-print-i-love-this-yarn/p/sw78578,https://cdn.media.amplience.net/s/hobbylobby/390427-96080-IMGSET,"Knit it your way! Take your knitting and crochet skills to a new level of softness with this Print I Love This Yarn. Featuring a blend of colors, this yarn is perfect for hats, scarves, shawls, sweaters, afghans, and more. Stay creative and stay warm! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",4147.0,2026-05-10T05:11:08.522Z
f36f2a4f-2785-4a53-93f9-e5ca64898f84,MMYN440,80890169,1667724,Yarn Bee Mini Maker Yarn,145 Teal - Yarn Bee Mini Maker Yarn,Yarn Bee,1.29,1.29,0.9,1.29,0.9,0.9,True,False,True,BOTH,20,100% Acrylic,4 - Medium,Acrylic,bluegreen,100% Acrylic,145 Teal,5mm (USA: Size 8 - UK: Size 6),"16 Stitches x 22 Rows = 4"" x 4""",6mm (USA: Size J-10 - UK: Size 4),"11 Single Crochet x 14 Rows = 4"" x 4""",1.05 Ounces,65 Yards,1,"Hand Wash, Cold | Dry Flat | Do Not Iron | Do Not Bleach | Do Not Dry Clean",Yarn & Needle Art,Yarn & Tools,Yarn,4.3514,37,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/yarn-bee-mini-maker-yarn/p/mmyn440,https://cdn.media.amplience.net/s/hobbylobby/1667724-80890169-IMGSET,"Create buzzworthy crafts with this Yarn Bee Mini Maker Yarn. This yarn boasts a solid color that is great for all of your crochet and knitting projects. Use it to make lovely scarves, knit blankets, hats, accessories, and more! Pair it with other stunning yarns to create something colorful and, oh, so sweet! Note: We are aware of the importance of dye lots and make every effort to pull the same dye lot on orders for multiple skeins of yarn; however, we are unable to guarantee all skeins will be the same dye lot.",2896.0,2026-05-10T05:08:11.695Z
