sku,product_key,price,url,image,brand,color,color_family,fiber,yarn_weight,description
1003367,139108,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/111-hot-orchid---i-love-this-yarn/p/139108,https://cdn.media.amplience.net/s/hobbylobby/1003367-139108-02142025-IMGSET,I Love this Yarn,111 Hot Orchid,purple,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: Fuchsia
Color Code: 111 Hot Orchid
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
1003375,139109,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/112-ocean---i-love-this-yarn/p/139109,https://cdn.media.amplience.net/s/hobbylobby/1003375-139109-02142025-IMGSET,I Love this Yarn,112 Ocean,bluegreen,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: Seafoam Green
Color Code: 112 Ocean
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
1003383,139110,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/113-mango---i-love-this-yarn/p/139110,https://cdn.media.amplience.net/s/hobbylobby/1003383-139110-02142025-IMGSET,I Love this Yarn,113 Mango,orange,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: Orange
Color Code: 113 Mango
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
839316,35682,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/i-love-this-yarn/p/35682,https://cdn.media.amplience.net/s/hobbylobby/839316-35682-02142025-IMGSET,I Love this Yarn,10 White,white,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: White
Color Code: 10 White
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
839324,35683,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/i-love-this-yarn/p/35683,https://cdn.media.amplience.net/s/hobbylobby/839324-35683-02142025-IMGSET,I Love this Yarn,20 Ivory,beige,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: Ivory
Color Code: 20 Ivory
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
839332,35684,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/i-love-this-yarn/p/35684,https://cdn.media.amplience.net/s/hobbylobby/839332-35684-02142025-IMGSET,I Love this Yarn,30 Black,black,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: Black
Color Code: 30 Black
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
839357,35685,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/i-love-this-yarn/p/35685,https://cdn.media.amplience.net/s/hobbylobby/839357-35685-02142025-IMGSET,I Love this Yarn,40 Red,red,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: Red
Color Code: 40 Red
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
839456,35686,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/i-love-this-yarn/p/35686,https://cdn.media.amplience.net/s/hobbylobby/839456-35686-02142025-IMGSET,I Love this Yarn,50 Cranberry,red,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: Dark Red
Color Code: 50 Cranberry
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
839464,35687,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/i-love-this-yarn/p/35687,https://cdn.media.amplience.net/s/hobbylobby/839464-35687-02142025-IMGSET,I Love this Yarn,60 Aubergine,red,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: Reddish Purple
Color Code: 60 Aubergine
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
839472,35688,4.99,https://www.hobbylobby.com/yarn-needle-art/yarn-tools/yarn/i-love-this-yarn/p/35688,https://cdn.media.amplience.net/s/hobbylobby/839472-35688-02142025-IMGSET,I Love this Yarn,70 Soft Blue,blue,100% Acrylic,4 - Medium,"Content: 100% Acrylic
Color: Light Blue
Color Code: 70 Soft Blue
Yarn Weight: 4 - Medium
Recommended Knitting Needles: 5mm (USA Size: 8 - UK Size: 6)
Knit Gauge: 18 Stitches x 23 Rows = 4"" x 4""
Recommended Crochet Hook: 5.5mm (USA Size: I-9 - UK Size: 5)
Crochet Gauge: 12 Single Crochet x 15 Rows = 4"" x 4""
Skein Weight: 7 Ounces
Skein Yardage: 355 Yards
Quantity: 1
Care:
Machine Wash, Warm
Machine Dry
Do Not Iron
Do Not Bleach
Dry Clean, Any Solvent"
